id,commonName,version,catalog.shortName,GPS,reference,jsonurl,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW230723_101834-v1,GW230723_101834,1,GWTC-4.0,1374142732.4,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230723_101834/v1,16.7,-3.4,5.9,10.6,-2.8,2.8,10.1,,,1610.0,-890.0,690.0,-0.18,-0.17,0.2,27.5,-2.6,4.3,11.4,-0.92,1.64,,,,0.3,-0.16,0.11,0.0034,,,0.99,,,26.4,-2.6,4.2
GW230726_002940-v1,GW230726_002940,1,GWTC-4.0,1374366598.1,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230726_002940/v1,35.6,-5.9,9.0,27.9,-6.0,6.0,10.5,,,2000.0,-1000.0,1200.0,-0.02,-0.23,0.21,63.6,-7.9,10.3,27.3,-3.4,4.4,,,,0.37,-0.17,0.18,1e-05,,,0.99,,,60.6,-7.4,9.7
GW230728_083628-v1,GW230728_083628,1,GWTC-4.0,1374568606.9,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230728_083628/v1,,,,,,,13.1,,,,,,,,,,,,,,,,,,,,,1.5,,,0.73,,,,,
GW230729_082317-v1,GW230729_082317,1,GWTC-4.0,1374654215.2,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230729_082317/v1,12.3,-2.7,7.6,7.6,-2.6,2.1,9.5,,,1630.0,-760.0,820.0,0.12,-0.13,0.22,20.3,-2.4,5.0,8.33,-0.75,0.94,,,,0.31,-0.13,0.13,0.18,,,0.95,,,19.4,-2.4,5.1
GW230731_215307-v1,GW230731_215307,1,GWTC-4.0,1374875605.9,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230731_215307/v1,10.4,-1.4,2.9,7.8,-1.6,1.2,12.2,,,1110.0,-460.0,350.0,-0.05,-0.06,0.11,18.3,-1.0,1.6,7.77,-0.36,0.58,,,,0.22,-0.08,0.06,1e-05,,,0.99,,,17.4,-1.0,1.6
GW230803_033412-v1,GW230803_033412,1,GWTC-4.0,1375068870.4,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230803_033412/v1,45.0,-12.0,19.0,29.0,-10.0,12.0,9.4,,,4900.0,-2600.0,4000.0,0.06,-0.31,0.29,74.0,-16.0,22.0,30.5,-6.7,9.3,,,,0.77,-0.35,0.47,0.31,,,0.99,,,70.0,-15.0,21.0
GW230805_034249-v1,GW230805_034249,1,GWTC-4.0,1375242188.0,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230805_034249/v1,32.1,-7.3,12.5,22.6,-7.5,7.8,9.5,,,3500.0,-1700.0,2600.0,0.06,-0.28,0.27,54.9,-9.7,13.8,23.1,-4.2,5.9,,,,0.58,-0.25,0.33,0.0037,,,0.99,,,52.4,-9.2,13.0
GW230806_204041-v1,GW230806_204041,1,GWTC-4.0,1375389659.9,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230806_204041/v1,51.0,-12.0,18.0,35.0,-13.0,14.0,9.4,,,5500.0,-2900.0,3700.0,0.08,-0.27,0.28,85.0,-15.0,24.0,35.8,-6.9,10.7,,,,0.84,-0.39,0.44,0.0037,,,0.99,,,81.0,-15.0,23.0
GW230807_205045-v1,GW230807_205045,1,GWTC-4.0,1375476663.4,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230807_205045/v1,,,,,,,8.7,,,,,,,,,,,,,,,,,,,,,2.9,,,0.59,,,,,
GW230811_032116-v1,GW230811_032116,1,GWTC-4.0,1375759294.3,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230811_032116/v1,35.6,-7.5,8.7,22.1,-5.1,6.7,13.6,,,2100.0,-1100.0,1200.0,0.02,-0.18,0.18,57.9,-6.6,8.7,24.0,-2.4,4.1,,,,0.38,-0.18,0.17,1e-05,,,0.99,,,55.3,-6.4,8.3
GW230814_061920-v1,GW230814_061920,1,GWTC-4.0,1376029178.5,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230814_061920/v1,69.0,-17.0,19.0,42.0,-16.0,17.0,11.2,,,4000.0,-2000.0,3400.0,0.05,-0.28,0.29,110.0,-20.0,26.0,45.5,-9.9,11.9,,,,0.65,-0.28,0.42,0.00063,,,0.99,,,105.0,-19.0,24.0
GW230814_230901-v1,GW230814_230901,1,GWTC-4.0,1376089759.8,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230814_230901/v1,33.6,-2.2,2.8,28.3,-3.0,2.1,43.0,,,280.0,-130.0,170.0,-0.01,-0.08,0.06,61.8,-2.1,2.0,26.75,-1.0,0.89,,,,0.06,-0.03,0.03,1e-05,,,0.99,,,58.9,-1.9,1.9
GW230817_212349-v1,GW230817_212349,1,GWTC-4.0,1376342647.1,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230817_212349/v1,,,,,,,7.8,,,,,,,,,,,,,,,,,,,,,6.2,,,0.86,,,,,
GW230819_171910-v1,GW230819_171910,1,GWTC-4.0,1376500768.4,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230819_171910/v1,70.0,-21.0,47.0,35.0,-19.0,20.0,9.9,,,4000.0,-2200.0,3900.0,-0.04,-0.43,0.36,106.0,-22.0,41.0,42.0,-11.0,14.0,,,,0.65,-0.31,0.49,0.011,,,0.99,,,102.0,-22.0,41.0
GW230820_212515-v1,GW230820_212515,1,GWTC-4.0,1376601934.0,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230820_212515/v1,62.0,-15.0,23.0,34.0,-18.0,18.0,9.3,,,4000.0,-2100.0,3000.0,0.21,-0.29,0.31,96.0,-16.0,22.0,38.6,-9.8,11.2,,,,0.65,-0.3,0.38,0.24,,,0.97,,,92.0,-16.0,21.0
GW230822_230337-v1,GW230822_230337,1,GWTC-4.0,1376780635.5,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230822_230337/v1,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,1.5,,,0.86,,,,,
